Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-SPRINKLER RETURN PIPE P,sprinkler return,,,0,0,0,,,,,plan,,,YES
PP-GCL P,grid ceiling light,,,29723.54,12820.88,0,,,,,plan,,,YES
PP-URW,urinal wall,,,-93.97,-93.97,0,,,,,plan,,,YES
PP-URF,urinal floor,,,-93.97,-93.97,0,,,,,plan,,,YES
PP-SINK W,sink wall,,,0,0,0,,,,,plan,,,YES
PP-SINK F,sink floor,,,0,0,0,,,,,plan,,,YES
PP-NVR P,nvr,,NO,29709.55,-4898.52,0,,,,,plan,,,YES
PP- HVAC TEE,tee,,,29677.23,2148.77,0,252.4,252.4,,,ducting,,,YES
PP-HVAC ELBOW,bend,,,0,0,0,62.11,62.11,,,ducting,,,YES
PP-HVAC45,elbow,,,0,0,0,38.45,70.16,,,ducting,,,YES
PP-HVAC ELBOW MIRROR,bend,,YES,0,0,0,62.11,62.11,,,ducting,,,
PP-HVAC45 MIRROR,elbow,,YES,0,0,0,38.45,70.16,,,ducting,,,
PP-DRAINAGE END,drainage end,,,0,0,0,0,0,,,drainage,,,
PP-WATER SUPPLY END,watersupply end,,,0,0,0,0,0,,,watersupply,,,
PP-CONDUITING END,conduiting end,,,0,0,0,0,0,,,conduiting,,,
PP-SPRINKLER END,sprinkler end,,,0,0,0,0,0,,,sprinkler,,,
PP-COPPER PIPE END,piping end,,,0,0,0,0,0,,,piping,,,
PP-CHILLER PIPE END,chiller end,,,0,0,0,0,0,,,chiller,,,
PP-DUCT DOT,ducting end,,,50422.88,13190.22,0,0,0,,,ducting,,,
PP-WELD JOINT,weld tee,,NO,0,0,0,94.45,94.45,0,,sprinkler,,red,YES
PP-WELD JOINT M,weld tee,,YES,0,0,0,94.45,94.45,0,,sprinkler,,red,
PP-CCTV,cctv dome,,NO,0,0,0,0,0,0,,plan,,,YES
PP-WELD BEND,weld bend,,NO,0,0,0,126.4,62.5,0,,sprinkler,,red,YES
PP-WELD BEND M,weld bend,,YES,0,0,0,126.4,62.5,0,,sprinkler,,red,
PP-STEP UP WS,stepover watersupply,,NO,0,0,0,183.92,183.92,0,,watersupply,,,YES
PP-ARROW 1,arrow 1,,,0,0,0,,,,,draw,,black,YES
PP-STEP UP COUN,stepover conduiting,,,0,0,0,183.92,183.92,0,,conduiting,,navy,YES
PP-FAN 1,fan 30'',,,0,0,0,,,,,plan,,,YES
PP-WiFi,WiFi,,,0,0,0,,,,,plan,,,YES
PP-CHANDELIER,chandelier,,,0,0,0,,,,,plan,,,YES
PP-Foot light,foot light,,,0,0,0,,,,,plan,,,YES
PP-Smoke detector,smoke detector,,,0,0,0,,,,,plan,,,YES
PP-Motion Detector,motion detector,,,0,0,0,,,,,plan,,,YES
PP-FL E,foot light,,,0,0,0,,,,,elevation,,black,
