Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-Only regulator-Raw-1 way-2,one way regulator fan-2M,,NO,9364.17,8916.49,0,,,,,elevation,,black,
PP-CEILING PENDANT,ceiling pendant,,NO,-1078.23,-10730.14,0,,,,CP,sprinkler,,red,YES
PP-WALL PENDANT,wall pendant,,NO,-1084.42,-10940.68,0,,,,WP,sprinkler,,red,YES
PP-UPRIGHT,upright,,NO,13690.48,13277.82,0,,,,UP,sprinkler,,red,YES
PP-WL,wall light,,NO,2837.51,20925.41,0,,,,WL,elevation,,black,
PP-AC,ac,,NO,-798.16,29014.13,0,,,,AC,elevation,,black,
PP-TL,tubelight,,NO,3970.99,20883.32,0,,,,TL,elevation,,black,
PP-WFN,wall fan,,NO,3532.03,26209.03,0,,,,WFN,elevation,,black,
PP-ML,mirror light,,NO,2874.43,20550.41,0,,,,ML,elevation,,black,
PP-SWITCH BOARD P,switchboard,,NO,29365.96,10888.06,0,,,,SB,plan,,black,
PP-EX,exhaust,,NO,3795.55,24480.91,0,,,,EX,elevation,,black,
PP-GY,geyser,,NO,790.99,29062.93,0,,,,GY,elevation,,black,
PP-TV,tv,,NO,426.58,20820.44,0,,,,TV,elevation,,black,
PP-DB,db,,NO,5310.43,20614.5,0,,,,DB,elevation,,black,
PP-LV ,lv rack,,NO,4030.29,16999.13,0,,,,LV rack,elevation,,black,
PP-EPBX,epbx,,NO,5116.62,17071.12,0,,,,EPBX,elevation,,black,
PP-MB,meter box,,NO,5118.42,18280,0,,,,MB,elevation,,black,
PP-WCW,wc wall,,NO,813.03,26757.54,0,,,,WCW,elevation,,blue,
PP-WCF,wc floor,,NO,-1296.01,26605.12,0,,,,WCF,elevation,,blue,
PP-WCI,wc indian,,NO,-2187,26874.84,0,,,,WCI,elevation,,blue,
PP-WBW,wb wall,,NO,-2082.31,20528.83,0,,,,WBW,elevation,,blue,
PP-WBF,wb floor,,NO,-2082.31,19020.96,0,,,,WBF,elevation,,blue,
PP-SHOWER,shower,,NO,2437.58,27830.91,0,,,,SH,elevation,,blue,
PP-URW E,urinal wall,,NO,-3.09,-226.65,0,,,,URW,elevation,,blue,
PP-URF E,urinal floor,,NO,-3.09,-226.65,0,,,,URF,elevation,,blue,
PP-SINK W E,sink wall,,NO,0,-222.42,0,,,,SINK W,elevation,,blue,
PP-SINK F E,sink floor,,NO,0,-222.42,0,,,,SINK F,elevation,,blue,
PP-HF,health faucet,,NO,402.31,26836.7,0,,,,HF,elevation,,blue,
PP-BATHTUB,bathtub,,NO,597.12,25121.72,0,,,,BATH,elevation,,blue,
PP-NVR BACK,nvr back,,NO,0,0,0,,,,NVR,conduiting,,navy,YES
PP-DBBACK,db back,yes,NO,-572.96,2710.83,0,,,,DBB,conduiting,,navy,YES
PP-SBBACK,sb back,yes,NO,-572.96,2325.08,0,,,,SBB,conduiting,,navy,YES
PP-MBBACK,mb back,yes,NO,-572.96,2006.44,0,,,,MBB,conduiting,,navy,YES
PP-LVBACK,lv back,yes,NO,-572.96,1616.03,0,,,,LVB,conduiting,,navy,YES
PP-EPBXBACK,epbx back,yes,NO,-572.96,1297.38,0,,,,EPBXB,conduiting,,navy,YES
PP-UPBEND,up bend watersupply,,NO,4523.14,8369.48,0,57.79,0,,BEND,watersupply,,blue,YES
PP-UPCONDUIT,up bend conduiting,,NO,9462.87,6801.17,0,57.79,0,,BEND,conduiting,,black,YES
PP-Only regulator-Raw-2 way-1,two way regulator fan-1M,,NO,9385.57,8599.12,0,,,,,elevation,,black,
PP-Only regulator-Raw-2 way-2,two way regulator fan-2M,,NO,9364.17,8207.44,0,,,,,elevation,,black,
PP-Only regulator-UPS-1 way-1,one way regulator fan-1M,,NO,9385.57,7890.06,0,,,,,elevation,,black,
PP-Only regulator-UPS-1 way-2,one way regulator fan-2M,,NO,9364.17,7498.38,0,,,,,elevation,,black,
PP-Only regulator-UPS-2 way-1,two way regulator fan-1M,,NO,9385.57,7181,0,,,,,elevation,,black,
PP-Only regulator-UPS-2 way-2,two way regulator fan-2M,,NO,9364.17,6789.32,0,,,,,elevation,,black,
PP-Data-1,data socket-1M,,NO,9378.06,6422.74,0,,,,,elevation,,black,
PP-Raw-Power socket with switch-3,power socket witch switch-3M,,NO,9332.5,6065.31,0,,,,,elevation,,black,
PP-Raw-AC-1,AC switch-1M,,NO,9390.33,5747.47,0,,,,,elevation,,black,
PP-Raw-AC-2,AC switch-2M,,NO,9345.48,5373.85,0,,,,,elevation,,black,
PP-TV Co-Axial-1,TV co-axial-1M,,NO,9378.06,4981.54,0,,,,,elevation,,black,
PP-Raw-Power socket-2,power socket-2M,,NO,9347.89,4651.4,0,,,,,elevation,,black,
PP-Telephone-1,telephone socket-1M,,NO,9394.7,4359.99,0,,,,,elevation,,black,
PP-UPS-Power socket with switch-3,power socket witch switch-3M,,NO,9332.5,3608.59,0,,,,,elevation,,black,
PP-UPS-AC-1,AC switch-1M,,NO,9390.33,3289.79,0,,,,,elevation,,black,
PP-UPS-AC-2,AC switch-2M,,NO,9345.48,2917.14,0,,,,,elevation,,black,
PP-UPS-Power socket-2,power socket-2M,,NO,9347.89,2194.68,0,,,,,elevation,,black,
PP-With regulator-Raw-1 way-2,one way fan-2M,,NO,9332.03,1533.52,0,,,,,elevation,,black,
PP-With regulator-UPS-1 way-2,one way fan-2M,,NO,9332.03,1178.99,0,,,,,elevation,,black,
PP-With regulator-UPS-2 way-2,two way fan-2M,,NO,9332.03,824.46,0,,,,,elevation,,black,
PP-With regulator-Raw-1 way-3,one way fan-3M,,NO,0,0,0,,,,,elevation,,black,
PP-With regulator-UPS-2 way-3,two way fan-3M,,NO,9310.63,-676.97,0,,,,,elevation,,black,
PP-With regulator-Raw-2 way-3,two way fan-3M,,NO,9310.63,-1031.5,0,,,,,elevation,,black,
PP-blank-1,blank-1M,,NO,9384.54,-1428.9,0,,,,,elevation,,black,
